2020-08-07 23:54:16,643; NESTER; DEBUG; 31; <module> ; ------------------------------start------------------------------
2020-08-07 23:54:16,655; Fusion360CommandBase; DEBUG; 112; __init__ ; Fusion360CommandBase.init
2020-08-07 23:54:16,668; Fusion360CommandBase; DEBUG; 145; onRun ; Fusion360CommandBase.onRun
2020-08-07 23:54:16,699; Fusion360CommandBase; DEBUG; 81; toolbarPanelById_in_Workspace ; toolbarPanelById_in_Workspace
2020-08-07 23:54:16,713; Fusion360CommandBase; DEBUG; 390; __init__ ; CommandCreatedEventHandler
2020-08-07 23:54:21,401; Fusion360CommandBase; DEBUG; 393; notify ; CommandCreatedEventHandler.notify
2020-08-07 23:54:21,413; Fusion360CommandBase; DEBUG; 351; __init__ ; CommandExecuteHandler
2020-08-07 23:54:21,426; Fusion360CommandBase; DEBUG; 331; __init__ ; InputChangedHandler
2020-08-07 23:54:21,444; Fusion360CommandBase; DEBUG; 305; __init__ ; DestroyHandler
2020-08-07 23:54:21,474; Fusion360CommandBase; DEBUG; 288; __init__ ; ExecutePreviewHandler
2020-08-07 23:54:21,486; Fusion360CommandBase; DEBUG; 371; __init__ ; MouseClickHandler
2020-08-07 23:54:21,498; Fusion360CommandBase; DEBUG; 422; notify ; ***Debug ***Panel command created successfully
2020-08-07 23:54:40,120; Fusion360CommandBase; DEBUG; 374; notify ; MouseClickHandler.notify
2020-08-07 23:54:40,132; Fusion360CommandBase; DEBUG; 381; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:54:40,144; NesterCommand; DEBUG; 596; onMouseClick ; NesterCommand.onMouseClick
2020-08-07 23:54:40,156; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:54:40,174; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:54:40,175; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_plane was the command
2020-08-07 23:54:40,181; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:54:40,212; NesterCommand; DEBUG; 255; addStock ; Nester.NestFaces.addStock
2020-08-07 23:54:40,218; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:43,413; Fusion360CommandBase; DEBUG; 374; notify ; MouseClickHandler.notify
2020-08-07 23:54:43,419; Fusion360CommandBase; DEBUG; 381; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:54:43,430; NesterCommand; DEBUG; 596; onMouseClick ; NesterCommand.onMouseClick
2020-08-07 23:54:43,454; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:54:43,460; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:54:43,466; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_selection was the command
2020-08-07 23:54:43,472; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:54:43,502; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:43,509; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:43,515; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:43,539; Fusion360CommandBase; DEBUG; 291; notify ; ExecutePreviewHandler.notify
2020-08-07 23:54:43,557; Fusion360CommandBase; DEBUG; 298; notify ; ***Debug *** Preview: cmdID_Nester execute preview event triggered
2020-08-07 23:54:43,575; NesterCommand; DEBUG; 515; onPreview ; Nester.NesterCommend.onPreview
2020-08-07 23:54:43,581; NesterCommand; DEBUG; 34; getInputs ; getInputs
2020-08-07 23:54:43,593; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:43,611; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:43,623; NesterCommand; DEBUG; 323; addJointOrigin ; Nester.NestStock.addJointOrigin
2020-08-07 23:54:43,653; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:43,729; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:43,774; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:43,847; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:44,757; Fusion360CommandBase; DEBUG; 374; notify ; MouseClickHandler.notify
2020-08-07 23:54:44,763; Fusion360CommandBase; DEBUG; 381; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:54:44,780; NesterCommand; DEBUG; 596; onMouseClick ; NesterCommand.onMouseClick
2020-08-07 23:54:44,794; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:54:44,800; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:54:44,812; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_selection was the command
2020-08-07 23:54:44,824; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:54:44,842; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:44,855; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:44,885; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:44,897; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:44,909; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:44,920; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:45,000; Fusion360CommandBase; DEBUG; 291; notify ; ExecutePreviewHandler.notify
2020-08-07 23:54:45,012; Fusion360CommandBase; DEBUG; 298; notify ; ***Debug *** Preview: cmdID_Nester execute preview event triggered
2020-08-07 23:54:45,018; NesterCommand; DEBUG; 515; onPreview ; Nester.NesterCommend.onPreview
2020-08-07 23:54:45,036; NesterCommand; DEBUG; 34; getInputs ; getInputs
2020-08-07 23:54:45,042; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:45,078; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:45,084; NesterCommand; DEBUG; 323; addJointOrigin ; Nester.NestStock.addJointOrigin
2020-08-07 23:54:45,090; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:45,171; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:45,210; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:45,269; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:45,340; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:45,383; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:45,424; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:45,492; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:46,267; Fusion360CommandBase; DEBUG; 374; notify ; MouseClickHandler.notify
2020-08-07 23:54:46,279; Fusion360CommandBase; DEBUG; 381; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:54:46,291; NesterCommand; DEBUG; 596; onMouseClick ; NesterCommand.onMouseClick
2020-08-07 23:54:46,315; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:54:46,315; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:54:46,327; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_selection was the command
2020-08-07 23:54:46,333; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:54:46,346; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:46,358; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:46,364; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:46,370; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:46,382; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:46,394; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:46,400; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:46,423; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:46,441; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:46,552; Fusion360CommandBase; DEBUG; 291; notify ; ExecutePreviewHandler.notify
2020-08-07 23:54:46,564; Fusion360CommandBase; DEBUG; 298; notify ; ***Debug *** Preview: cmdID_Nester execute preview event triggered
2020-08-07 23:54:46,576; NesterCommand; DEBUG; 515; onPreview ; Nester.NesterCommend.onPreview
2020-08-07 23:54:46,594; NesterCommand; DEBUG; 34; getInputs ; getInputs
2020-08-07 23:54:46,612; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:46,618; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:46,624; NesterCommand; DEBUG; 323; addJointOrigin ; Nester.NestStock.addJointOrigin
2020-08-07 23:54:46,636; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:46,744; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:46,785; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:46,816; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:46,828; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:46,875; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:46,933; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:46,961; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:47,024; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:47,104; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:47,133; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:47,186; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:47,252; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:47,980; Fusion360CommandBase; DEBUG; 374; notify ; MouseClickHandler.notify
2020-08-07 23:54:47,992; Fusion360CommandBase; DEBUG; 381; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:54:48,010; NesterCommand; DEBUG; 596; onMouseClick ; NesterCommand.onMouseClick
2020-08-07 23:54:48,035; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:54:48,047; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:54:48,059; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_selection was the command
2020-08-07 23:54:48,065; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:54:48,090; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:48,108; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:48,120; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:48,145; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:48,157; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:48,163; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:48,181; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:48,199; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:48,211; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
